epoch,train_mse_loss,validation_fve,validation_mse,validation_rmse,validation_mean_l2_error,validation_cosine_mean,validation_cosine_std,validation_cosine_min,validation_cosine_max,is_best
1,1.3711932182312012,-72.55545806884766,1.001856803894043,1.000927971381579,39.222984313964844,0.667191743850708,0.006690626498311758,0.6518380045890808,0.6783075332641602,True
2,0.910822069644928,-53.92255401611328,0.7480687300364176,0.8649096658243667,33.8940544128418,0.7490007877349854,0.0065659424290061,0.7322484850883484,0.7599577307701111,True
3,0.7131681442260742,-43.976558685302734,0.6126000086466471,0.7826876826976691,30.669322967529297,0.799895167350769,0.006520604714751244,0.7846378684043884,0.8114126920700073,True
4,0.5978291034698486,-37.023014068603516,0.5178897380828857,0.7196455642070517,28.197250366210938,0.8347607851028442,0.006165851838886738,0.8209192156791687,0.8457929491996765,True
5,0.5132405519485473,-31.635021209716797,0.44450294971466064,0.666710544175402,26.122201919555664,0.8613153696060181,0.005745077971369028,0.8492853045463562,0.8716496229171753,True
6,0.4472741484642029,-27.395605087280273,0.38676027456919354,0.6219005343052806,24.364233016967773,0.8818762898445129,0.005589564796537161,0.8712977170944214,0.8919296264648438,True
7,0.3947241008281708,-23.96497344970703,0.3400336106618245,0.5831240096770365,22.841291427612305,0.8981884717941284,0.005778885912150145,0.8888514637947083,0.9083322882652283,True
8,0.3519368588924408,-21.16263771057129,0.30186458428700763,0.549422045687109,21.51736831665039,0.9111431241035461,0.005808820482343435,0.9009356498718262,0.9215028285980225,True
9,0.3158069849014282,-18.75345802307129,0.2690505584081014,0.5187008370998657,20.30903434753418,0.9223064184188843,0.005861547309905291,0.9118221998214722,0.932755708694458,True
10,0.28427245020866393,-16.636619567871094,0.24021828174591064,0.49012068079801596,19.18414306640625,0.9317595362663269,0.005995690822601318,0.9206458330154419,0.9423400163650513,True
11,0.25654194951057435,-14.773622512817383,0.21484347184499106,0.46351210539207177,18.135343551635742,0.9401278495788574,0.006023191846907139,0.9282869100570679,0.9506189823150635,True
12,0.23172954320907593,-13.11707878112793,0.19228067000706991,0.43849819840800935,17.15032958984375,0.9469234347343445,0.006102909799665213,0.9340029358863831,0.9573546051979065,True
13,0.20928781628608703,-11.6357421875,0.17210421959559122,0.4148544559186887,16.216354370117188,0.9533173441886902,0.006065028719604015,0.9401981234550476,0.9635874032974243,True
14,0.18931847512722016,-10.321293830871582,0.1542008916536967,0.39268421365481027,15.339447021484375,0.9589219093322754,0.006042587570846081,0.9453035593032837,0.9689490795135498,True
15,0.1714496999979019,-9.156610488891602,0.1383374035358429,0.3719373650708448,14.518261909484863,0.9637962579727173,0.005931719671934843,0.9501627683639526,0.9736165404319763,True
16,0.155573108792305,-8.139911651611328,0.1244895060857137,0.3528307045676633,13.761207580566406,0.9679096341133118,0.005882993806153536,0.9539763331413269,0.9775446653366089,True
17,0.1412615567445755,-7.242124557495117,0.11226125558217366,0.33505410843947825,13.05577278137207,0.9715453386306763,0.005770368035882711,0.9575232267379761,0.980893075466156,True
18,0.1285115286707878,-6.4469380378723145,0.10143049558003743,0.31848154668683304,12.39995002746582,0.9743876457214355,0.0057778083719313145,0.9598654508590698,0.983599841594696,True
19,0.1167235478758812,-5.735888481140137,0.09174570441246033,0.3028955338271932,11.782621383666992,0.9771895408630371,0.005474173463881016,0.963386058807373,0.9858867526054382,True
20,0.10662646144628525,-5.1106133460998535,0.08322915434837341,0.28849463486930466,11.2097806930542,0.9796514511108398,0.0052508218213915825,0.9662211537361145,0.9878422021865845,True
