epoch,av_train_loss,ar_generated_train_mse,ar_anchor_train_mse,validation_nla_fve,validation_nla_mse,validation_nla_rmse,validation_cosine_mean,validation_mean_baseline_mse,validation_zero_baseline_fve,validation_shuffled_baseline_fve,is_best
1,2.841930142784119,1.2202792920708656,1.8420783758163453,nan,nan,nan,nan,nan,nan,nan,False
2,2.447471042060852,0.847466471862793,1.0249441736936569,nan,nan,nan,nan,nan,nan,nan,False
3,2.3207701063156128,0.9932891023755074,0.9944439735889434,nan,nan,nan,nan,nan,nan,nan,False
4,2.1998866804122925,0.9011679933905602,0.9721249659538269,nan,nan,nan,nan,nan,nan,nan,False
5,2.0734271127700805,0.9343729560256004,0.967571973156929,nan,nan,nan,nan,nan,nan,nan,False
6,1.9266419731140136,0.9009242388486862,0.9734631727695465,nan,nan,nan,nan,nan,nan,nan,False
7,1.7905415563583373,0.8301692678451538,0.9811431850075721,nan,nan,nan,nan,nan,nan,nan,False
8,1.6374034698486328,0.8649749148249626,0.9432634455919265,nan,nan,nan,nan,nan,nan,nan,False
9,1.4917194896697998,0.824605532336235,0.938471195447445,nan,nan,nan,nan,nan,nan,nan,False
10,1.3211243242263795,0.8098756578683853,0.9176297225594521,nan,nan,nan,nan,nan,nan,nan,False
11,1.1699213081359863,0.7635589757561684,0.9093985290646553,nan,nan,nan,nan,nan,nan,nan,False
12,1.0186283703804015,0.7796787440896035,0.8775669280648232,nan,nan,nan,nan,nan,nan,nan,False
13,0.8876779856204987,0.763033387196064,0.8436516004443169,nan,nan,nan,nan,nan,nan,nan,False
14,0.7718711351394654,0.7615998721241951,0.8455773706436157,nan,nan,nan,nan,nan,nan,nan,False
15,0.6658205612659455,0.7506538283228874,0.7923722379922867,nan,nan,nan,nan,nan,nan,nan,False
16,0.5709057101726532,0.7393652614116669,0.7746270490407944,nan,nan,nan,nan,nan,nan,nan,False
17,0.4887925166606903,0.7215690125465393,0.7658584544897079,nan,nan,nan,nan,nan,nan,nan,False
18,0.4306922456741333,0.718059803879261,0.7344615989327431,nan,nan,nan,nan,nan,nan,nan,False
19,0.3834561966180801,0.717214842236042,0.7150583482265472,nan,nan,nan,nan,nan,nan,nan,False
20,0.34415792739391327,0.7173836802840233,0.7089064688324929,0.3616231083869934,0.14973726868629456,0.38695900129896776,0.940772294998169,0.23455935716629028,-6.04139518737793,-1.0525121688842773,True
